"route number","route id"
"100","293"
"208","8"
"209","9"
"210","10"
"213","11"
"215","12"
"221","13"
"223","15"
"225","16"
"226","17"
"230","18"
"234","19"
"240","21"
"250","23"
"270","24"
"272","25"
"290","27"
"301","28"
"302","29"
"303","30"
"305","32"
"307","33"
"308","34"
"309","35"
"310","36"
"311","37"
"313","38"
"314","271"
"315","39"
"316","272"
"317","40"
"318","41"
"319","42"
"322","44"
"330","47"
"331","48"
"332","49"
"348","50"
"349","51"
"350","52"
"352","53"
"353","54"
"354","55"
"356","232"
"357","57"
"358","58"
"359","59"
"360","288"
"361","278"
"364","61"
"366","62"
"367","63"
"379","65"
"381","66"
"383","68"
"384","69"
"385","70"
"386","71"
"390","73"
"392","75"
"395","78"
"410","275"
"411","80"
"412","81"
"421","83"
"422","84"
"423","85"
"471","89"
"472","90"
"501","82"
"504","95"
"505","96"
"507","98"
"508","99"
"509","100"
"511","101"
"512","281"
"524","103"
"530","106"
"533","108"
"540","270"
"541","111"
"542","112"
"543","113"
"546","115"
"547","116"
"548","117"
"549","118"
"550","119"
"552","120"
"554","121"
"559","279"
"561","124"
"562","125"
"563","126"
"564","127"
"565","128"
"568","130"
"569","131"
"570","132"
"571","133"
"572","134"
"574","136"
"600","141"
"603","282"
"604","283"
"605","284"
"606","142"
"607","285"
"626","149"
"711","189"
"714","190"
"715","191"
"722","276"
"755","236"
"801","207"
"802","208"
"803","209"
"832","220"
"834","221"
"850","258"
"851","259"
"855","237"
"890","224"
